Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>166</b>,<b><a href='https://tossinvest.com/stocks/VNO/analytics'>VNO</a></b>,Vornado Realty Trust,US,8,43.3%,5,39.2%,9,46.6%,5,38.6%,5,1.8%,Real Estate,Equity Real Estate Inv...,False,1007.61,15.15B,<span style='color: red;'>-5.77%</span>,<span style='color: red;'>-5.36%</span>,<span style='color: red;'>-0.63%</span>,<span style='color: green;'>22.51%</span>,<span style='color: green;'>54.73%</span>,<span style='color: red;'>-5.57%</span>,1.32%,1.73%,0.07%,-14.86%,77.07%,1.25M,1.59
<b>167</b>,<b><a href='https://tossinvest.com/stocks/TRMB/analytics'>TRMB</a></b>,Trimble Inc,US,8,43.3%,6,40.8%,9,45.4%,9,45.1%,6,1.3%,Information Technology,"Electronic Equipment, ...",False,12.01,17.99B,<span style='color: red;'>-0.11%</span>,<span style='color: red;'>-4.21%</span>,<span style='color: green;'>3.67%</span>,<span style='color: green;'>30.99%</span>,<span style='color: green;'>21.43%</span>,<span style='color: green;'>3.61%</span>,29.37%,,20.72%,-5.88%,50.50%,1.30M,1.57
<b>168</b>,<b><a href='https://tossinvest.com/stocks/COKE/analytics'>COKE</a></b>,Coca-Cola Consolidated Inc,US,8,43.3%,6,40.5%,9,46.6%,5,39.1%,6,1.1%,Consumer Staples,Beverages,buy,27.88,12.64B,<span style='color: green;'>1.22%</span>,<span style='color: green;'>6.12%</span>,<span style='color: green;'>19.16%</span>,<span style='color: green;'>13.23%</span>,<span style='color: green;'>70.51%</span>,<span style='color: green;'>14.50%</span>,37.73%,,16.77%,-1.25%,80.16%,35.92K,0.74
<b>169</b>,<b><a href='https://tossinvest.com/stocks/ABBV/analytics'>ABBV</a></b>,Abbvie Inc,US,8,43.3%,7,41.5%,9,44.1%,8,42.8%,6,1.2%,Health Care,Biotechnology,buy,83.99,354.62B,<span style='color: green;'>4.08%</span>,<span style='color: green;'>16.38%</span>,<span style='color: green;'>21.75%</span>,<span style='color: green;'>2.86%</span>,<span style='color: green;'>16.24%</span>,<span style='color: green;'>13.04%</span>,61.94%,3.21%,6.58%,-3.11%,30.80%,6.03M,0.62
<b>170</b>,<b><a href='https://tossinvest.com/stocks/K/analytics'>K</a></b>,Kellanova,US,8,43.3%,6,40.6%,6,40.4%,7,41.9%,6,1.0%,Consumer Staples,Food Products,buy,21.30,28.42B,<span style='color: green;'>0.33%</span>,<span style='color: green;'>0.93%</span>,<span style='color: green;'>3.06%</span>,<span style='color: green;'>4.19%</span>,<span style='color: green;'>52.28%</span>,<span style='color: green;'>1.83%</span>,38.65%,2.80%,14.54%,-0.05%,57.17%,2.14M,0.32
<b>171</b>,<b><a href='https://tossinvest.com/stocks/MRVL/analytics'>MRVL</a></b>,Marvell Technology Inc,US,8,43.3%,5,38.9%,9,44.4%,8,42.9%,4,2.2%,Information Technology,Semiconductors & Semic...,buy,,94.07B,<span style='color: green;'>3.12%</span>,<span style='color: red;'>-12.17%</span>,<span style='color: green;'>23.77%</span>,<span style='color: green;'>53.03%</span>,<span style='color: green;'>63.99%</span>,<span style='color: red;'>-1.58%</span>,-10.33%,0.22%,-8.41%,-14.72%,104.38%,14.64M,1.38
<b>172</b>,<b><a href='https://tossinvest.com/stocks/HIG/analytics'>HIG</a></b>,Hartford Insurance Group Inc,US,8,43.2%,8,43.1%,7,41.2%,9,44.6%,6,1.1%,Financials,Insurance,False,10.85,32.58B,<span style='color: green;'>1.05%</span>,<span style='color: green;'>0.34%</span>,<span style='color: red;'>-4.73%</span>,<span style='color: green;'>1.06%</span>,<span style='color: green;'>20.75%</span>,<span style='color: green;'>2.71%</span>,19.58%,1.84%,14.85%,-10.03%,21.43%,1.64M,0.92
<b>173</b>,<b><a href='https://tossinvest.com/stocks/AZO/analytics'>AZO</a></b>,Autozone Inc,US,8,43.2%,6,39.7%,9,43.5%,7,41.8%,6,0.9%,Consumer Discretionary,Specialty Retail,buy,22.76,57.17B,<span style='color: red;'>-0.77%</span>,<span style='color: green;'>3.30%</span>,<span style='color: green;'>9.63%</span>,<span style='color: green;'>7.39%</span>,<span style='color: green;'>24.89%</span>,<span style='color: green;'>6.39%</span>,,,35.97%,-2.23%,27.07%,121.46K,0.72
<b>174</b>,<b><a href='https://tossinvest.com/stocks/APO/analytics'>APO</a></b>,Apollo Global Management Inc,US,8,43.2%,6,40.6%,9,44.6%,9,46.7%,5,1.5%,Financials,Diversified Financial ...,buy,21.55,88.71B,<span style='color: red;'>-0.41%</span>,<span style='color: red;'>-7.36%</span>,<span style='color: red;'>-4.18%</span>,<span style='color: green;'>40.48%</span>,<span style='color: green;'>39.11%</span>,<span style='color: red;'>-5.07%</span>,28.59%,1.29%,15.72%,-17.26%,64.85%,5.44M,1.63
<b>175</b>,<b><a href='https://tossinvest.com/stocks/LBRDA/analytics'>LBRDA</a></b>,Liberty Broadband Corp,US,8,43.2%,6,40.5%,9,45.7%,6,40.2%,5,1.7%,Communication Services,Media,buy,14.74,11.65B,<span style='color: green;'>2.52%</span>,<span style='color: green;'>5.73%</span>,<span style='color: red;'>-8.04%</span>,<span style='color: green;'>30.85%</span>,<span style='color: green;'>33.29%</span>,<span style='color: green;'>8.38%</span>,8.38%,,5.80%,-19.76%,70.85%,179.22K,1.10
<b>176</b>,<b><a href='https://tossinvest.com/stocks/LBRDK/analytics'>LBRDK</a></b>,Liberty Broadband Corp,US,8,43.2%,6,40.5%,9,45.7%,6,40.2%,5,1.7%,Communication Services,Media,buy,14.91,11.67B,<span style='color: green;'>2.59%</span>,<span style='color: green;'>6.20%</span>,<span style='color: red;'>-7.70%</span>,<span style='color: green;'>29.77%</span>,<span style='color: green;'>35.03%</span>,<span style='color: green;'>9.04%</span>,8.38%,,5.80%,-19.68%,75.46%,892.84K,1.08
<b>177</b>,<b><a href='https://tossinvest.com/stocks/AAPL/analytics'>AAPL</a></b>,Apple Inc,US,8,43.2%,7,41.6%,9,45.1%,7,41.9%,6,0.9%,Information Technology,"Technology Hardware, S...",buy,39.08,3692.88B,<span style='color: green;'>3.78%</span>,<span style='color: green;'>10.42%</span>,<span style='color: green;'>9.26%</span>,<span style='color: green;'>8.83%</span>,<span style='color: green;'>34.84%</span>,<span style='color: red;'>-1.83%</span>,136.52%,0.42%,63.80%,-5.49%,49.83%,50.45M,1.18
<b>178</b>,<b><a href='https://tossinvest.com/stocks/COHR/analytics'>COHR</a></b>,Coherent Corp,US,8,43.2%,6,40.0%,5,38.8%,9,43.6%,4,2.9%,Information Technology,"Electronic Equipment, ...",False,,13.36B,<span style='color: red;'>-1.21%</span>,<span style='color: red;'>-16.43%</span>,<span style='color: red;'>-9.33%</span>,<span style='color: green;'>11.33%</span>,<span style='color: green;'>44.41%</span>,<span style='color: red;'>-8.96%</span>,0.88%,,-0.51%,-24.08%,76.79%,3.11M,1.67
<b>179</b>,<b><a href='https://tossinvest.com/stocks/PCTY/analytics'>PCTY</a></b>,Paylocity Holding Corp,US,8,43.2%,6,40.9%,9,45.5%,9,43.8%,5,1.6%,Information Technology,Software,buy,53.00,11.54B,<span style='color: red;'>-3.59%</span>,<span style='color: green;'>4.58%</span>,<span style='color: green;'>4.36%</span>,<span style='color: green;'>35.79%</span>,<span style='color: green;'>16.37%</span>,<span style='color: green;'>3.48%</span>,20.49%,,14.30%,-7.77%,58.86%,432.86K,0.95
<b>180</b>,<b><a href='https://tossinvest.com/stocks/JCI/analytics'>JCI</a></b>,Johnson Controls International plc,IE,8,43.2%,6,40.1%,9,44.9%,7,41.7%,5,1.3%,Industrials,Building Products,False,33.92,58.64B,<span style='color: red;'>-0.22%</span>,<span style='color: green;'>7.70%</span>,<span style='color: green;'>5.25%</span>,<span style='color: green;'>26.56%</span>,<span style='color: green;'>58.75%</span>,<span style='color: green;'>12.54%</span>,9.80%,1.64%,6.88%,-2.53%,57.84%,3.95M,1.36
<b>181</b>,<b><a href='https://tossinvest.com/stocks/HLI/analytics'>HLI</a></b>,Houlihan Lokey Inc,US,8,43.2%,7,42.0%,9,44.6%,9,44.2%,6,0.9%,Financials,Capital Markets,buy,33.57,12.33B,<span style='color: red;'>-0.98%</span>,<span style='color: red;'>-4.74%</span>,<span style='color: red;'>-4.26%</span>,<span style='color: green;'>15.85%</span>,<span style='color: green;'>34.94%</span>,<span style='color: green;'>1.20%</span>,18.64%,1.30%,14.32%,-8.52%,44.27%,380.05K,0.72
<b>182</b>,<b><a href='https://tossinvest.com/stocks/PFG/analytics'>PFG</a></b>,Principal Financial Group Inc,US,8,43.2%,7,41.0%,6,40.0%,7,42.1%,6,1.1%,Financials,Insurance,buy,12.96,19.80B,<span style='color: green;'>1.91%</span>,<span style='color: green;'>4.87%</span>,<span style='color: black;'>0.00%</span>,<span style='color: green;'>10.75%</span>,<span style='color: green;'>8.15%</span>,<span style='color: green;'>11.82%</span>,14.28%,3.50%,10.36%,-5.89%,19.87%,1.34M,1.19
<b>183</b>,<b><a href='https://tossinvest.com/stocks/MELI/analytics'>MELI</a></b>,MercadoLibre Inc,US,8,43.1%,6,40.6%,8,43.4%,7,41.2%,5,1.7%,Consumer Discretionary,Internet & Direct Mark...,buy,74.46,107.00B,<span style='color: green;'>4.65%</span>,<span style='color: green;'>15.04%</span>,<span style='color: green;'>12.26%</span>,<span style='color: green;'>4.07%</span>,<span style='color: green;'>19.32%</span>,<span style='color: green;'>24.11%</span>,42.62%,,18.17%,-2.37%,59.28%,368.10K,1.66
<b>184</b>,<b><a href='https://tossinvest.com/stocks/RGA/analytics'>RGA</a></b>,"Reinsurance Group Of America, Inc",US,8,43.1%,6,40.4%,5,39.5%,9,44.2%,6,1.2%,Financials,Insurance,buy,18.31,12.92B,<span style='color: red;'>-1.48%</span>,<span style='color: red;'>-12.50%</span>,<span style='color: red;'>-15.45%</span>,<span style='color: red;'>-5.63%</span>,<span style='color: green;'>17.52%</span>,<span style='color: red;'>-8.20%</span>,7.21%,1.88%,4.52%,-16.12%,16.87%,471.51K,0.88
<b>185</b>,<b><a href='https://tossinvest.com/stocks/ICE/analytics'>ICE</a></b>,Intercontinental Exchange Inc,US,8,43.1%,6,40.1%,9,44.1%,9,45.4%,6,0.8%,Financials,Capital Markets,buy,34.88,95.83B,<span style='color: green;'>0.14%</span>,<span style='color: green;'>9.93%</span>,<span style='color: green;'>7.54%</span>,<span style='color: green;'>6.66%</span>,<span style='color: green;'>23.15%</span>,<span style='color: green;'>11.93%</span>,10.32%,1.16%,6.08%,-1.76%,34.14%,2.95M,1.11
<b>186</b>,<b><a href='https://tossinvest.com/stocks/FLUT/analytics'>FLUT</a></b>,Flutter Entertainment Plc,IE,8,43.1%,6,40.1%,9,46.0%,5,39.1%,5,1.5%,Consumer Discretionary,"Hotels, Restaurants & ...",False,,51.07B,<span style='color: green;'>3.35%</span>,<span style='color: green;'>6.91%</span>,<span style='color: green;'>8.40%</span>,<span style='color: green;'>38.03%</span>,<span style='color: green;'>34.84%</span>,<span style='color: green;'>11.33%</span>,,,,-4.00%,65.34%,1.34M,1.29
<b>187</b>,<b><a href='https://tossinvest.com/stocks/BABA/analytics'>BABA</a></b>,Alibaba Group Holding Ltd ADR,CN,8,43.1%,7,41.0%,5,37.9%,5,37.8%,5,1.4%,Consumer Discretionary,Internet & Direct Mark...,False,19.65,325.57B,<span style='color: green;'>14.91%</span>,<span style='color: green;'>59.25%</span>,<span style='color: green;'>53.48%</span>,<span style='color: green;'>62.04%</span>,<span style='color: green;'>88.00%</span>,<span style='color: green;'>60.36%</span>,11.97%,0.63%,10.09%,5.39%,100.60%,20.39M,0.34
<b>188</b>,<b><a href='https://tossinvest.com/stocks/TDG/analytics'>TDG</a></b>,Transdigm Group Incorporated,US,8,43.1%,6,40.9%,9,44.3%,9,44.1%,6,1.0%,Industrials,Aerospace & Defense,buy,46.31,73.61B,<span style='color: red;'>-3.02%</span>,<span style='color: red;'>-3.35%</span>,<span style='color: green;'>4.65%</span>,<span style='color: green;'>5.88%</span>,<span style='color: green;'>20.83%</span>,<span style='color: green;'>3.57%</span>,,,9.09%,-7.87%,21.96%,295.02K,1.39
<b>189</b>,<b><a href='https://tossinvest.com/stocks/ADSK/analytics'>ADSK</a></b>,Autodesk Inc,US,8,43.1%,6,40.9%,9,47.1%,8,43.3%,5,1.5%,Information Technology,Software,buy,57.81,62.57B,<span style='color: red;'>-2.11%</span>,<span style='color: red;'>-1.98%</span>,<span style='color: red;'>-2.72%</span>,<span style='color: green;'>15.89%</span>,<span style='color: green;'>12.67%</span>,<span style='color: red;'>-1.54%</span>,53.25%,,22.57%,-10.90%,49.00%,1.48M,1.49
<b>190</b>,<b><a href='https://tossinvest.com/stocks/FLEX/analytics'>FLEX</a></b>,Flex Ltd,US,8,43.0%,5,39.5%,9,46.0%,9,45.1%,5,1.9%,Information Technology,"Electronic Equipment, ...",buy,16.88,15.97B,<span style='color: red;'>-3.07%</span>,<span style='color: red;'>-5.83%</span>,<span style='color: green;'>12.07%</span>,<span style='color: green;'>30.40%</span>,<span style='color: green;'>47.73%</span>,<span style='color: green;'>8.60%</span>,18.45%,,11.74%,-7.56%,64.98%,4.66M,1.06
<b>191</b>,<b><a href='https://tossinvest.com/stocks/BMY/analytics'>BMY</a></b>,Bristol-Myers Squibb Co,US,8,43.0%,6,40.7%,9,46.8%,6,40.4%,6,1.0%,Health Care,Pharmaceuticals,False,,113.22B,<span style='color: red;'>-0.64%</span>,<span style='color: red;'>-2.19%</span>,<span style='color: red;'>-0.76%</span>,<span style='color: green;'>14.42%</span>,<span style='color: green;'>16.19%</span>,<span style='color: red;'>-1.36%</span>,-39.10%,4.44%,-13.70%,-8.69%,41.78%,10.72M,0.44
<b>192</b>,<b><a href='https://tossinvest.com/stocks/SRE/analytics'>SRE</a></b>,Sempra,US,8,43.0%,5,39.4%,7,41.3%,9,44.5%,6,0.8%,Utilities,Multi-Utilities,False,18.93,54.48B,<span style='color: green;'>3.71%</span>,<span style='color: red;'>-0.58%</span>,<span style='color: red;'>-6.07%</span>,<span style='color: green;'>7.89%</span>,<span style='color: green;'>25.90%</span>,<span style='color: red;'>-1.95%</span>,10.12%,3.13%,4.76%,-10.19%,29.53%,3.87M,0.75
<b>193</b>,<b><a href='https://tossinvest.com/stocks/GE/analytics'>GE</a></b>,GE Aerospace,US,8,43.0%,6,40.8%,9,44.6%,9,45.7%,6,1.2%,Industrials,Industrial Conglomerates,buy,34.95,224.04B,<span style='color: red;'>-0.43%</span>,<span style='color: green;'>11.33%</span>,<span style='color: green;'>17.98%</span>,<span style='color: green;'>22.31%</span>,<span style='color: green;'>76.40%</span>,<span style='color: green;'>25.15%</span>,27.62%,0.65%,17.47%,-1.63%,77.25%,5.28M,1.20
<b>194</b>,<b><a href='https://tossinvest.com/stocks/GWW/analytics'>GWW</a></b>,W.W. Grainger Inc,US,8,43.0%,6,40.2%,7,41.3%,8,42.2%,6,0.9%,Industrials,Trading Companies & Di...,buy,26.35,49.88B,<span style='color: red;'>-0.32%</span>,<span style='color: red;'>-8.67%</span>,<span style='color: red;'>-13.07%</span>,<span style='color: green;'>7.09%</span>,<span style='color: green;'>10.11%</span>,<span style='color: red;'>-2.82%</span>,56.00%,0.85%,30.26%,-16.56%,17.07%,270.47K,1.17
<b>195</b>,<b><a href='https://tossinvest.com/stocks/MLI/analytics'>MLI</a></b>,"Mueller Industries, Inc",US,8,43.0%,7,42.0%,9,45.2%,7,41.8%,6,1.3%,Industrials,Machinery,buy,15.17,9.16B,<span style='color: green;'>1.46%</span>,<span style='color: red;'>-2.53%</span>,<span style='color: red;'>-9.13%</span>,<span style='color: green;'>16.78%</span>,<span style='color: green;'>62.23%</span>,<span style='color: green;'>1.54%</span>,23.67%,,21.62%,-16.77%,69.79%,1.31M,1.01
<b>196</b>,<b><a href='https://tossinvest.com/stocks/HOOD/analytics'>HOOD</a></b>,Robinhood Markets Inc,US,8,43.0%,7,41.3%,5,38.5%,8,42.6%,4,2.3%,Financials,Capital Markets,False,35.89,49.76B,<span style='color: green;'>0.27%</span>,<span style='color: green;'>12.12%</span>,<span style='color: green;'>73.45%</span>,<span style='color: green;'>176.43%</span>,<span style='color: green;'>300.43%</span>,<span style='color: green;'>50.46%</span>,19.24%,,19.37%,-16.22%,318.67%,24.52M,2.15
<b>197</b>,<b><a href='https://tossinvest.com/stocks/MMYT/analytics'>MMYT</a></b>,MakeMyTrip Ltd,IN,8,42.9%,6,40.7%,6,40.6%,6,40.8%,5,1.9%,Consumer Discretionary,"Hotels, Restaurants & ...",buy,55.39,11.16B,<span style='color: red;'>-3.20%</span>,<span style='color: green;'>2.06%</span>,<span style='color: green;'>4.21%</span>,<span style='color: green;'>4.31%</span>,<span style='color: green;'>68.61%</span>,<span style='color: red;'>-9.48%</span>,23.09%,,16.84%,-17.37%,82.81%,640.76K,1.34
<b>198</b>,<b><a href='https://tossinvest.com/stocks/IFF/analytics'>IFF</a></b>,International Flavors & Fragranc...,US,8,42.9%,6,39.7%,5,39.6%,7,41.6%,5,1.7%,Materials,Chemicals,False,,20.49B,<span style='color: red;'>-5.36%</span>,<span style='color: red;'>-6.32%</span>,<span style='color: red;'>-6.97%</span>,<span style='color: red;'>-18.66%</span>,<span style='color: red;'>-0.02%</span>,<span style='color: red;'>-5.22%</span>,1.70%,2.01%,1.13%,-24.94%,9.87%,1.41M,1.22
<b>199</b>,<b><a href='https://tossinvest.com/stocks/ZG/analytics'>ZG</a></b>,Zillow Group Inc,US,8,42.9%,7,41.0%,9,46.4%,7,42.1%,5,1.7%,Real Estate,Real Estate Management...,buy,,18.89B,<span style='color: green;'>0.77%</span>,<span style='color: green;'>0.57%</span>,<span style='color: green;'>6.67%</span>,<span style='color: green;'>40.66%</span>,<span style='color: green;'>43.03%</span>,<span style='color: green;'>6.49%</span>,-2.39%,,-2.27%,-12.86%,98.24%,490.37K,2.33
<b>200</b>,<b><a href='https://tossinvest.com/stocks/Z/analytics'>Z</a></b>,Zillow Group Inc,US,8,42.9%,7,41.0%,9,46.4%,7,42.1%,5,1.7%,Real Estate,Real Estate Management...,buy,,18.83B,<span style='color: green;'>0.17%</span>,<span style='color: green;'>0.33%</span>,<span style='color: green;'>7.26%</span>,<span style='color: green;'>40.90%</span>,<span style='color: green;'>42.96%</span>,<span style='color: green;'>5.79%</span>,-2.39%,,-2.27%,-12.36%,103.74%,2.76M,2.26
<b>201</b>,<b><a href='https://tossinvest.com/stocks/TCOM/analytics'>TCOM</a></b>,Trip.com Group Ltd ADR,CN,8,42.9%,6,40.9%,9,45.3%,6,40.6%,5,1.6%,Consumer Discretionary,"Hotels, Restaurants & ...",False,19.97,42.58B,<span style='color: red;'>-2.87%</span>,<span style='color: red;'>-4.13%</span>,<span style='color: green;'>11.13%</span>,<span style='color: green;'>54.07%</span>,<span style='color: green;'>60.27%</span>,<span style='color: red;'>-3.71%</span>,12.29%,,9.95%,-14.34%,72.93%,2.87M,0.34
<b>202</b>,<b><a href='https://tossinvest.com/stocks/PLTR/analytics'>PLTR</a></b>,Palantir Technologies Inc,US,8,42.9%,8,42.2%,5,38.8%,6,40.5%,4,2.2%,Information Technology,Software,buy,561.98,249.24B,<span style='color: red;'>-9.47%</span>,<span style='color: green;'>45.44%</span>,<span style='color: green;'>61.58%</span>,<span style='color: green;'>226.98%</span>,<span style='color: green;'>334.82%</span>,<span style='color: green;'>40.51%</span>,10.90%,,8.89%,-15.26%,422.73%,84.94M,2.82
<b>203</b>,<b><a href='https://tossinvest.com/stocks/IP/analytics'>IP</a></b>,International Paper Co,US,8,42.9%,5,39.3%,9,45.8%,6,39.7%,6,1.1%,Materials,Containers & Packaging,False,35.63,29.56B,<span style='color: green;'>2.62%</span>,<span style='color: red;'>-4.14%</span>,<span style='color: red;'>-2.64%</span>,<span style='color: green;'>18.64%</span>,<span style='color: green;'>63.22%</span>,<span style='color: green;'>4.16%</span>,6.74%,3.35%,3.49%,-7.12%,69.06%,8.00M,1.00
<b>204</b>,<b><a href='https://tossinvest.com/stocks/V/analytics'>V</a></b>,Visa Inc,US,8,42.9%,7,41.2%,8,42.8%,9,45.0%,7,0.7%,Information Technology,IT Services,buy,35.80,684.71B,<span style='color: red;'>-0.28%</span>,<span style='color: green;'>8.30%</span>,<span style='color: green;'>13.19%</span>,<span style='color: green;'>31.78%</span>,<span style='color: green;'>26.55%</span>,<span style='color: green;'>10.90%</span>,50.51%,0.69%,35.84%,-1.86%,38.70%,6.05M,0.96
<b>205</b>,<b><a href='https://tossinvest.com/stocks/UI/analytics'>UI</a></b>,Ubiquiti Inc,US,8,42.9%,7,41.2%,6,40.0%,5,39.7%,5,1.9%,Information Technology,Communications Equipment,buy,45.88,20.41B,<span style='color: red;'>-1.79%</span>,<span style='color: red;'>-18.77%</span>,<span style='color: green;'>0.67%</span>,<span style='color: green;'>88.39%</span>,<span style='color: green;'>166.06%</span>,<span style='color: green;'>1.64%</span>,323.87%,,63.17%,-28.21%,223.67%,96.30K,1.09
<b>206</b>,<b><a href='https://tossinvest.com/stocks/RBA/analytics'>RBA</a></b>,RB Global Inc,US,8,42.8%,5,39.4%,8,42.6%,9,44.3%,6,1.2%,Industrials,Commercial Services & ...,buy,51.47,19.09B,<span style='color: green;'>10.13%</span>,<span style='color: green;'>13.95%</span>,<span style='color: green;'>11.93%</span>,<span style='color: green;'>25.34%</span>,<span style='color: green;'>51.16%</span>,<span style='color: green;'>14.75%</span>,7.37%,1.12%,3.82%,-3.16%,56.88%,914.92K,0.97
<b>207</b>,<b><a href='https://tossinvest.com/stocks/PEG/analytics'>PEG</a></b>,Public Service Enterprise Group Inc,US,8,42.8%,5,38.5%,9,44.8%,8,42.9%,6,0.9%,Utilities,Multi-Utilities,False,20.83,42.18B,<span style='color: green;'>1.04%</span>,<span style='color: red;'>-6.33%</span>,<span style='color: red;'>-4.19%</span>,<span style='color: green;'>6.20%</span>,<span style='color: green;'>44.98%</span>,<span style='color: green;'>0.21%</span>,13.00%,2.84%,5.77%,-11.08%,42.81%,2.24M,0.61
<b>208</b>,<b><a href='https://tossinvest.com/stocks/AR/analytics'>AR</a></b>,Antero Resources Corp,US,8,42.8%,5,39.1%,6,40.3%,9,44.9%,5,1.5%,Energy,"Oil, Gas & Consumable ...",False,218.89,12.29B,<span style='color: green;'>0.33%</span>,<span style='color: red;'>-1.05%</span>,<span style='color: green;'>29.58%</span>,<span style='color: green;'>37.28%</span>,<span style='color: green;'>64.83%</span>,<span style='color: green;'>12.72%</span>,0.82%,,0.54%,-4.86%,69.97%,4.34M,3.39
<b>209</b>,<b><a href='https://tossinvest.com/stocks/DTM/analytics'>DTM</a></b>,DT Midstream Inc,US,8,42.8%,6,39.8%,9,47.1%,6,40.8%,6,1.2%,Energy,"Oil, Gas & Consumable ...",False,24.28,10.08B,<span style='color: green;'>1.28%</span>,<span style='color: red;'>-12.08%</span>,<span style='color: red;'>-0.77%</span>,<span style='color: green;'>31.75%</span>,<span style='color: green;'>82.83%</span>,<span style='color: green;'>0.58%</span>,9.69%,2.95%,5.80%,-12.66%,81.67%,970.63K,0.81
<b>210</b>,<b><a href='https://tossinvest.com/stocks/AJG/analytics'>AJG</a></b>,Arthur J. Gallagher & Co,US,8,42.8%,6,40.8%,9,44.0%,9,43.7%,6,0.9%,Financials,Insurance,buy,49.82,82.81B,<span style='color: green;'>0.16%</span>,<span style='color: green;'>9.56%</span>,<span style='color: green;'>10.59%</span>,<span style='color: green;'>13.92%</span>,<span style='color: green;'>36.80%</span>,<span style='color: green;'>14.54%</span>,9.46%,0.79%,4.40%,-1.36%,41.31%,2.12M,0.78
<b>211</b>,<b><a href='https://tossinvest.com/stocks/AMZN/analytics'>AMZN</a></b>,Amazon.com Inc,US,8,42.7%,7,41.6%,9,44.4%,8,42.3%,6,1.2%,Consumer Discretionary,Internet & Direct Mark...,buy,40.36,2362.02B,<span style='color: red;'>-2.64%</span>,<span style='color: red;'>-3.39%</span>,<span style='color: green;'>10.00%</span>,<span style='color: green;'>25.06%</span>,<span style='color: green;'>31.48%</span>,<span style='color: green;'>1.59%</span>,24.29%,,14.21%,-8.10%,47.01%,35.63M,1.17
<b>212</b>,<b><a href='https://tossinvest.com/stocks/VST/analytics'>VST</a></b>,Vistra Corp,US,8,42.7%,7,41.2%,9,46.8%,8,42.6%,4,2.6%,Utilities,Independent Power and ...,False,30.91,55.52B,<span style='color: red;'>-2.06%</span>,<span style='color: red;'>-11.96%</span>,<span style='color: green;'>14.79%</span>,<span style='color: green;'>102.52%</span>,<span style='color: green;'>260.84%</span>,<span style='color: green;'>18.36%</span>,37.16%,0.60%,8.09%,-18.34%,258.48%,7.11M,1.19
<b>213</b>,<b><a href='https://tossinvest.com/stocks/DTE/analytics'>DTE</a></b>,DTE Energy Co,US,8,42.7%,5,39.3%,7,41.2%,6,40.8%,6,0.8%,Utilities,Multi-Utilities,False,19.39,27.19B,<span style='color: green;'>5.63%</span>,<span style='color: green;'>5.88%</span>,<span style='color: green;'>9.23%</span>,<span style='color: green;'>6.42%</span>,<span style='color: green;'>21.69%</span>,<span style='color: green;'>8.64%</span>,12.32%,3.36%,4.30%,-0.37%,27.28%,1.23M,0.64
<b>214</b>,<b><a href='https://tossinvest.com/stocks/TSM/analytics'>TSM</a></b>,Taiwan Semiconductor Manufacturi...,TW,8,42.7%,6,40.7%,9,46.1%,9,44.3%,5,1.5%,Information Technology,Semiconductors & Semic...,buy,28.44,1037.70B,<span style='color: red;'>-3.04%</span>,<span style='color: red;'>-8.50%</span>,<span style='color: green;'>7.57%</span>,<span style='color: green;'>14.05%</span>,<span style='color: green;'>57.94%</span>,<span style='color: green;'>1.32%</span>,29.96%,1.32%,22.93%,-11.62%,62.80%,14.90M,1.12
<b>215</b>,<b><a href='https://tossinvest.com/stocks/FWONA/analytics'>FWONA</a></b>,Liberty Media Corp,US,8,42.7%,6,40.0%,9,44.3%,9,44.3%,6,1.0%,Communication Services,Entertainment,buy,,22.82B,<span style='color: red;'>-1.57%</span>,<span style='color: green;'>10.71%</span>,<span style='color: green;'>23.45%</span>,<span style='color: green;'>28.00%</span>,<span style='color: green;'>46.60%</span>,<span style='color: green;'>9.19%</span>,11.52%,,-18.82%,-3.74%,59.78%,114.88K,1.07
<b>216</b>,<b><a href='https://tossinvest.com/stocks/FWONK/analytics'>FWONK</a></b>,Liberty Media Corp,US,8,42.7%,6,40.0%,9,44.3%,9,44.3%,6,1.0%,Communication Services,Entertainment,buy,,24.34B,<span style='color: red;'>-3.02%</span>,<span style='color: green;'>7.55%</span>,<span style='color: green;'>19.90%</span>,<span style='color: green;'>24.16%</span>,<span style='color: green;'>41.44%</span>,<span style='color: green;'>5.60%</span>,11.52%,,-18.82%,-4.38%,52.01%,1.16M,1.05
<b>217</b>,<b><a href='https://tossinvest.com/stocks/APP/analytics'>APP</a></b>,Applovin Corp,US,8,42.7%,7,41.4%,7,41.3%,8,43.3%,5,2.1%,Information Technology,Software,False,99.11,153.02B,<span style='color: green;'>18.32%</span>,<span style='color: green;'>32.99%</span>,<span style='color: green;'>54.59%</span>,<span style='color: green;'>424.40%</span>,<span style='color: green;'>651.65%</span>,<span style='color: green;'>38.96%</span>,134.52%,,34.07%,-14.31%,725.71%,5.48M,2.32
